,Id,Title,Type,Salary,Description,City,Postcode,MinSalary,MaxSalary
0,6023e9a16d1a1b0017ac621a,"iOS Developer (Remote, UK Based)",SE,"45,000 - 55,000 GBP per year","Salary 45,000 - 55,000 GBP per year Requirements:- At least 1 year of professional experience in iOS.Hands on experience developing iOS apps (personal projects or through studies)Proficient with Swift 4 and iOS frameworks.Applied knowledge of design patterns and SOLID principles.Familiarity with RESTful APIs to connect iOS applications to back-end services.Experience of developing user interfaces with auto-layout and collaborating with UX/UI designer.Working knowledge of the general mobile landscape, architecture, trends, and emerging technologies.Experience with modern design patterns such as MVP, MVVM, VIPER etc.Responsibilities:- The position will be responsible for supporting the Lead iOS Developer to work on the iOS application. You will help to create a reliable application that makes investing simple and enjoyable for users. You will be involved in the whole life cycle from suggesting new features to releasing the application:Design and build applications for the iOS platform.Ensure the performance, quality, and responsiveness of applications.Collaborate with the wider team to define, design, and ship new features.Identify and fix bottlenecks and bugs.Help maintain code quality and organisation.Technologies:- iOS- API- SwiftMore: We are building a financial service that people love. We are looking for a mid-level iOS Developer, who will be responsible for the development and maintenance of the Moneybox app.Your primary focus will be development of iOS applications and their integration with back-end services. You will be working alongside a team of engineers and developers working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and the creation of quality products is essential.Please read before you apply!By sending us your application you acknowledge and agree to Moneybox using your personal data as described below. We collect applicants’ personal data to manage our recruitment related activities. Consequently, we may use your personal data to evaluate your application, to select and shortlist applicants, to set up and conduct interviews and tests, to evaluate and assess the results, and as is otherwise needed in the recruitment process generally.We do not share your personal data with unauthorised third parties. However, we may, if necessary, share your personal data to carefully selected third parties acting on our behalf. This may include transfers to servers and databases outside the country where you provided us with your personal data. Such transfers may include for example transfers and/or disclosures outside the European Economic Area and in the United States of America.If you are unsuccessful in your application, we may keep your details on file so that we can tell you about other suitable vacancies which may be of interest to you when they arise in the future. If you would rather we did not keep your details on file, you can contact us at email: DPO@moneyboxapp.com",London,SE1 9PG,45000,55000
1,6023ead06d1a1b0017ac621b,Junior QA Engineer,QA,"25,000 - 35,000 GBP per year","Salary 25,000 - 35,000 GBP per year Requirements:- 1-2 years QA experience with a broad knowledge of best practices is essential.Demonstrable test framework implementations on more than one tech stack.Deep understanding of SQL, jQuery, XML, REST/JSON).Deep understanding of web, API & database testing technologies and frameworks.Experience in test data design and implementation strategies.Experience with API test framework design for legacy back-end systems.Experience coaching junior members of a QA team.Experience of Agile Scrum, Kanban & behavioural-driven development (BDD).Experience of build pipelines using common CI/CD and SCM tools (e.g. GIT, Jenkins, TeamCity).Experience with automated testing incl. compatibility & performance testing an advantage.Responsibilities:- Review technical and business requirements (incl. acceptance criteria) and design robust & reusable test scenarios.Manage the execution of test scenarios and report results, capturing run & amp; key metrics overtime.Design and implement strategic level QA documentation/frameworks for the Cloud Apps workstream.Integrate Cloud Apps test scenarios with the overall test & automation strategy.Design and execute testing for complex features as required.Act as a point of contact for QA issues that arise during testing of the Cloud Apps workstream.Support the organisational shift towards continuous testing delivery (incl. implementing automated testing frameworks).Analyse live issues with a focus on continuous improvement.Assess feature suitability for test automation (incl. unit tests for developers & amp; API integration tests)Configuration and set-up of test tools including the integration of automated regression suite with CI/CD pipeline tools.Log, prioritise & track bugs to completion.Maintaining documentation related to the QA stream.Create and maintain strong working relationships, working closely with other teams to ensure issues are progressed.Collaborate across the wider team, predominantly with the development, product & amp; UX teams.Support other QA workstreams (e.g. Mobile & amp; Platform) with test execution during busy periods.Attending daily stand-ups, sprint planning, refinement sessions & retrospectives as required.As a key member of the QA team you’ll help ensure the quality of products and improve existing QA processes. Reporting into the QA lead.Technologies:- QA Testing- Mobile- APIMore: We are looking for a QA engineer to join our team, who enjoys working in a fast-paced environment. You will be working with a high calibre team to continuously develop new products/features.Please read before you apply!By sending us your application you acknowledge and agree to Moneybox using your personal data as described below. We collect applicants’ personal data to manage our recruitment related activities. Consequently, we may use your personal data to evaluate your application, to select and shortlist applicants, to set up and conduct interviews and tests, to evaluate and assess the results, and as is otherwise needed in the recruitment process generally.We do not share your personal data with unauthorised third parties. However, we may, if necessary, share your personal data to carefully selected third parties acting on our behalf. This may include transfers to servers and databases outside the country where you provided us with your personal data. Such transfers may include for example transfers and/or disclosures outside the European Economic Area and in the United States of America.If you are unsuccessful in your application, we may keep your details on file so that we can tell you about other suitable vacancies which may be of interest to you when they arise in the future. If you would rather we did not keep your details on file, you can contact us at email: DPO@moneyboxapp.com",London,SE1 9PG,25000,35000
2,6023eba46d1a1b0017ac621c,Software Developer in Test (SDET),QA,"30,000 - 40,000 GBP per year","Salary 30,000 - 40,000 GBP per year Requirements:- Extensive SDET experience (3+ years) with a broad knowledge of best practices is essential.Experience in large system migrations is essential.Experience in test data design and implementation strategies.Experience with API test framework design for legacy back-end systems.Demonstrable test framework implementations on more than one tech stack.Deep understanding of SQL, jQuery, XML, REST/JSON).Deep understanding of web, API & database testing technologies and frameworks.Experience coaching junior members of a QA team.Experience of Agile Scrum, Kanban & behavioural-driven development (BDD).Experience of build pipelines using common CI/CD and SCM tools (e.g. GIT, Jenkins, Team City).Experience with automated testing incl. compatibility & performance testing an advantageResponsibilities:- Design and implement strategic level QA documentation/frameworks for the Platform workstream.Review technical and business requirements (incl. acceptance criteria) and design robust & reusable E2E test scenarios.Manage the execution of E2E test scenarios and report results, capturing run & key metrics over time.Integrate platform test scenarios with the overall test & automation strategy.Design and execute E2E testing for complex system migrations as required.Act as a point of contact for QA issues that arise during testing of the Platform workstream.Support the organisational shift towards continuous testing delivery (incl. implementing automated testing frameworks).Analyse live issues with a focus on continuous improvement.Assess feature suitability for test automation (incl. unit tests for developers & API integration tests)Coach junior QA team members, providing guidance & support where appropriate.Configuration and set-up of test tools including the integration of automated regression suite with CI/CD pipeline tools.Log, prioritise & track defects to completion.Maintaining documentation related to the QA stream.Create and maintain strong working relationships, working closely with other teams to ensure issues are progressed.Collaborate across the wider team, predominantly with the development, product & UX teams.Support other QA workstreams (e.g. Mobile & Cloud Apps) with test execution during busy periods.Attending daily stand-ups, sprint planning, refinement sessions & retrospectives as required.As a key member of the QA team you’ll help ensure the quality of products, improve existing QA processes and mentor others. Reporting into the QA lead.Technologies:- CI/CD- QA Testing- Git- Jenkins- TeamcityMore: This position will suit an experienced software developer in test (SDET) who enjoys working in a fast-paced environment. You will be working with a high calibre team to continuously develop new products/features.Please read before you apply!By sending us your application you acknowledge and agree to Moneybox using your personal data as described below. We collect applicants’ personal data to manage our recruitment related activities. Consequently, we may use your personal data to evaluate your application, to select and shortlist applicants, to set up and conduct interviews and tests, to evaluate and assess the results, and as is otherwise needed in the recruitment process generally.We do not share your personal data with unauthorised third parties. However, we may, if necessary, share your personal data to carefully selected third parties acting on our behalf. This may include transfers to servers and databases outside the country where you provided us with your personal data. Such transfers may include for example transfers and/or disclosures outside the European Economic Area and in the United States of America.If you are unsuccessful in your application, we may keep your details on file so that we can tell you about other suitable vacancies which may be of interest to you when they arise in the future. If you would rather we did not keep your details on file, you can contact us at email: DPO@moneyboxapp.com",London,SE1 9PG,30000,40000
3,6023ebd56d1a1b0017ac621d,Senior Android Developer,SE,"60,000 - 70,000 GBP per year","Salary 60,000 - 70,000 GBP per year Requirements:- 5+ years of commercial experience in Android development.Experience and desire to mentor and support other developers with their technical and professional development.Exposure to all aspects of software development from gathering requirements to releasing with the ability to take ownership of these aspects.Highly proficient in Kotlin.Experience with common design patterns such as MVVM.Experience using common libraries such as RxJava2, Dagger, Retrofit etc.Knowledge of reactive programming using RxJava or Coroutines.Experience creating rich mobile interfaces.Extensive knowledge of the mobile landscape, architecture, trends and emerging technologies.Responsibilities:- The position will be responsible for supporting the Lead Android Developer working on the Android application. You will help to create a reliable application that makes investing simple and enjoyable for users. You will be involved in the whole life cycle from suggesting new features to releasing the application:Develop new features and maintain the Moneybox Android applicationLead development and take ownership for streams of work that enable customers to reach their financial goals.Mentor and support members of the Android team.Interact with the product manager and designers to refine ideas into fully specified user stories, that define how the user will interact with the application.Help to suggest new features for the application that will make the app experience better for users, and that will make the application more reliable.Break down stories into manageable chunks that allow features to be developed in an iterative manner that allow us to release regularly so we can gain feedback from our users.Estimate features so that we can get a reliable release date estimate for the rest of the company and users.Support the design of the architecture of the android application.  Lead large scale improvements to the design of the application.Release the app when all the features for the release have been developed.Monitor the app post-release to ensure that it is working as expected.Technologies:- Android- RxJs- Dagger- KotlinMore: We are currently growing at a rapid pace with more and more people using Moneybox. To support this growth we are looking for an Android Developer to help develop and own parts of the android application. This role will be responsible for working within a dedicated team to develop the Moneybox Android app. You will work alongside other developers to maintain a high quality app and develop new features that enhance the overall experience.Please read before you apply!By sending us your application you acknowledge and agree to Moneybox using your personal data as described below. We collect applicants’ personal data to manage our recruitment related activities. Consequently, we may use your personal data to evaluate your application, to select and shortlist applicants, to set up and conduct interviews and tests, to evaluate and assess the results, and as is otherwise needed in the recruitment process generally.We do not share your personal data with unauthorised third parties. However, we may, if necessary, share your personal data to carefully selected third parties acting on our behalf. This may include transfers to servers and databases outside the country where you provided us with your personal data. Such transfers may include for example transfers and/or disclosures outside the European Economic Area and in the United States of America.If you are unsuccessful in your application, we may keep your details on file so that we can tell you about other suitable vacancies which may be of interest to you when they arise in the future. If you would rather we did not keep your details on file, you can contact us at email: DPO@moneyboxapp.com",London,SE1 9PG,60000,70000
4,6023ecec6d1a1b0017ac621e,"Senior Software Engineer, Investment Platform",SE,"65,000 - 80,000 GBP per year","Salary 65,000 - 80,000 GBP per year Requirements:- Computer science or similar related experience.Proven track record in a similar role.Thorough understanding of OO programming languages.Thorough understanding of relational databases.Strong analytical and problem solving skills.Able to work both individually and as part of an agile team.Able to actively participate in technical and commercial discussions.Responsibilities:- This role will be responsible for but not limited to the following:Participating in the entire application lifecycle, focusing on developing scalable, resilient systems that deliver business value.Writing unit / integration tests along with production code to produce a reliable product.Working with wider team of developers, QA testers, product managers, UX designers to create and build new features.Understanding and providing feedback for technical and design requirements.Providing technical support to internal teams.Staying abreast of and (where necessary) applying the latest emerging technologies.Helping improve code quality and existing functionality.Technologies:- .NET Core- ASP.NET- Azure- C#- Git- SQL- Teamcity- CloudMore: We are currently growing at a rapid pace with more and more people using Moneybox. To support this growth we are looking for an all-rounder in full stack development. We don’t expect you to be an expert in everything, but a fundamental understanding of how things work is important.This role will be responsible for working within a small team to further develop our investment platform which manages the investment activities for hundreds of thousands of investors.Our tech stack:C# / .NET CoreASP.NET Core, Hangfire, MediatR, xUnitMicrosoft AzureSql ServerGit, TeamCity and Octopus DeployPlease read before you apply!By sending us your application you acknowledge and agree to Moneybox using your personal data as described below. We collect applicants’ personal data to manage our recruitment related activities. Consequently, we may use your personal data to evaluate your application, to select and shortlist applicants, to set up and conduct interviews and tests, to evaluate and assess the results, and as is otherwise needed in the recruitment process generally.We do not share your personal data with unauthorised third parties. However, we may, if necessary, share your personal data to carefully selected third parties acting on our behalf. This may include transfers to servers and databases outside the country where you provided us with your personal data. Such transfers may include for example transfers and/or disclosures outside the European Economic Area and in the United States of America.If you are unsuccessful in your application, we may keep your details on file so that we can tell you about other suitable vacancies which may be of interest to you when they arise in the future. If you would rather we did not keep your details on file, you can contact us at email: DPO@moneyboxapp.com",London,SE1 9PG,65000,80000
5,60244e686d1a1b0017ac6227,"Senior Software Engineer, Cloud Apps",SE,"65,000 - 80,000 GBP per year","Salary 65,000 - 80,000 GBP per year Requirements:- Computer science or similar related experience.Proven track record in a similar role.Thorough understanding of:OO programming languages.Relational databases.APIs delivered over HTTPStrong analytical and problem solving skills.Able to work both individually and as part of an agile team.Able to actively participate in technical and commercial discussions.Experience of one or more of:Defining system or module architectures that have been delivered into real-world use.Line management of a small engineering team.Coaching and mentoring other engineers.Scrum-master / agile team leadership.Defining, documenting, and implementing technology standards.Responsibilities:- This role will be responsible for but not limited to the following:Participating in the entire application lifecycle, focusing on designing and developing scalable, resilient systems that deliver business value.Managing, coaching, and mentoring an engineering teamOwning technical solution design architecture for significant product features, software modules, and technical initiatives.Hands-on codingWriting unit / integration tests along with production code to produce a reliable product.Working with wider team of developers, QA testers, product managers, UX designers to create and build new features.Understanding and providing feedback for technical and design requirements.Providing technical support to internal teams.Staying abreast of and (where necessary) applying the latest emerging technologies.Setting high standards, and continually improving how we do thingsTechnologies:- API- Cloud- C#- AzureMore: Moneybox is growing rapidly, and our technical teams are no exception. We have more users, more accounts, more money invested, more features, more code, more data, and more team-members than ever before. We’re looking for a Senior Software Engineer to help us handle all that growth without compromising on our service or product quality.This role will be part of the leadership of our Cloud Apps Team that builds and operates our cloud hosted API. We’re looking for someone who enjoys a mix of solution architecture, hands-on coding, and team leadership.  We don’t expect you to be an expert in everything we use, but a fundamental understanding of how things work is important.Please read before you apply!By sending us your application you acknowledge and agree to Moneybox using your personal data as described below. We collect applicants’ personal data to manage our recruitment related activities. Consequently, we may use your personal data to evaluate your application, to select and shortlist applicants, to set up and conduct interviews and tests, to evaluate and assess the results, and as is otherwise needed in the recruitment process generally.We do not share your personal data with unauthorised third parties. However, we may, if necessary, share your personal data to carefully selected third parties acting on our behalf. This may include transfers to servers and databases outside the country where you provided us with your personal data. Such transfers may include for example transfers and/or disclosures outside the European Economic Area and in the United States of America.If you are unsuccessful in your application, we may keep your details on file so that we can tell you about other suitable vacancies which may be of interest to you when they arise in the future. If you would rather we did not keep your details on file, you can contact us at email: DPO@moneyboxapp.com",London,SE1 9PG,65000,80000
6,6034f597ce54d60017a592a7,DevOps Engineer,DevOps,"40,000 - 50,000 GBP per year","Salary 40,000 - 50,000 GBP per year Requirements:- Work experience as a DevOps EngineerExperience with deploying JS and Python applicationGood knowledge of AWS (IAM, EC2, EKS, CloudWatch, System Manager, etc.)Basic GNU/Linux administrationContainerisation (Docker, Kubernetes, Helm)CI/CD administration (ideally GitlabCI, Bitrise, Fastlane)Infrastructure as Code and Instance Orchestration (ideally in Terraform, Ansible)Experience with configuring and maintaining monitoring, logging and alerting systems (preferably Graylog, Prometheus, Grafana Loki, AWS CloudWatch)Knowledge of scripting languages is plusResponsibilities:- We are looking for DevOps Engineer to help us scale up our company. You will be responsible for maintaining our cloud-based infrastructure, while working closely with Software Engineering and Data Science teams on further improvements together.Your expertise will be used to discuss deployment and cloud architecture with teams in order to fulfil requirements of our clients. Because we operate world-wide, you will be also automating your work to make the infrastructure easily replicable and maintainable in various regions.You will be also expected to take care of cloud security, including IAM administration, VPN access, etc. in order to maintain high level of security and privacy required by law (like HIPAA, GDPR, etc.). Training will be provided via our partners.Responsibilities will include, not be limited to:Maintain, monitor and improve our cloud infrastructure in AWSWork closely with Software Engineering and Data Science teams to deploy and monitor our applicationsImprove our infrastructure based on external (client) or internal needsWork with Tech Lead, CTO and Software Engineering team on improving security, scalability and availability of our servicesMaintain and improve security of AWS environmentsTechnologies:- AWS- CI/CD- GNU- GitLab- LinuxMore: Be part of the Tech and Data transformation of an entire sector from its core. We need you to help scale up a pioneer and write history.The HealthyHealth model uses data to calculate the risk of diagnosis for over 800 conditions, along with Extra Mortalities and Morbidities. This can be used to save applicants hours filling out long insurer questionnaires or visiting the doctor, and disrupting the traditional underwriting process for the benefit of the early adopters.Founded 2017Scaling upRaised ~£3mNamed one of Forbes’ “20 Tech-For-Social-Good Startups To Watch” In 202015 -> 45 Employees5 -> 10 DevelopersBig data & analytics - HealthTech - InsurTechYou will help us revolutionise this industry with a range of clients and partners from small to top-tier Insurers, re-insurers, and MGAs in Europe and APAC.",London,EC1Y8PD,40000,50000
7,6034f5fcce54d60017a592a8,Technical Lead,Management,"70,000 - 90,000 GBP per year","Salary 70,000 - 90,000 GBP per year Requirements:- Experience working as Technical Lead (2+ years)Solid English and clear communication skillsSolid backend programming language experience (ideally Python)Proven experience with designing, implementing and maintaining cloud-hosted REST API solutionsHave a solid understanding of AWS cloud componentsBe hungry to learn new frameworks, tools and technologies around cloud computing, programming, etc.Optionally have experience with creating mobile and web applications (ideally React and React Native)You should have good knowledge of Docker (with Kubernetes) and serverless technologies and know when to use them and when not to.Have experience with using and bootstrapping automation frameworks to help QA automate their workResponsibilities:- We are looking for our first Technical Lead to help us scale our products and platform worldwide, while also building and nurturing the culture of our Software Engineering team. Our services consist of a cloud-hosted API that is being used by our clients and our mobile and web applications. We are looking for a person with a strong technical background, who knows and loves programming and wants to help our team to grow and improve our solutions.You will be working on a daily basis with both on-shore and off-shore teams. That includes not only Software Engineering and Data Science team, but also working with product and business stakeholders. You will need to clearly communicate your technical solutions to various stakeholders, including potentially our clients during technical due-diligence with their engineering.Your major focus will be on working with the team on technical improvements, security and scaling. You will also be the go-to person for the technical knowledge needed by our clients, so you might occasionally be required to join technical sales meetings with the CTO.Responsibilities will include, not be limited to:Own key technological and architecture decisions and work closely with CTO on strategic decisionsWork closely with Product Owner and business to provide the best solution for our client's needs while being on scheduleKeep improving efficiency, security and scalability of our services by providing technical guidance to the team and verify your ideas by creating prototypesBe strong advocate of clean architecture, well-written code and good test coverageIdentify potential risks in our services and address them together with the teamDeploy services and maintain CI/CD together with devops and engineersImprove development practices and culture of Software Engineers and QA together with CTOHelp us to communicate with clients efficiently by providing detailed internal knowledge of our technical solutionsTechnologies:- AWS- Python- Docker- APIMore: HealthyHealth: A New Standard for Life and Health Insurance UnderwritingBe part of the Tech and Data transformation of an entire sector from its core. We need you to help scale up a pioneer and write history.The HealthyHealth model uses data to calculate the risk of diagnosis for over 800 conditions, along with Extra Mortalities and Morbidities.This can be used to save applicants hours filling out long insurer questionnaires or visiting the doctor, and disrupting the traditional underwriting process for the benefit of the early adopters.Founded 2017Scaling upRaised ~£3mNamed one of Forbes’ “20 Tech-For-Social-Good Startups To Watch” In 202015 -> 45 Employees5 -> 10 DevelopersBig data & analytics - HealthTech - InsurTechYou will help us revolutionise this industry with a range of clients and partners from small to top-tier Insurers, re-insurers, and MGAs in Europe and APAC.",London,EC1Y8PD,70000,90000
8,6034f60dce54d60017a592a9,Backend Engineer,SE,"40,000 - 60,000 GBP per year","Salary 40,000 - 60,000 GBP per year Requirements:- Strong Python3 knowledge essentialExperience with backend Python frameworks (ideally flask, aiohttp)Experience with test-driven development (ideally unittest or pytest)Working with Git (ideally Gitlab) with CI/CD experienceNice to have: Docker, AWS, Pryv, TwillioResponsibilities:- We are looking for Software Engineer based in Hong Kong, who would love to be part of our growing company and make help our team to make the APIs even better and more performant. Because our Software Engineering team is located in Europe, you will be provided an opportunity to work with us for a couple of months locally in England, in order to meet our team and learn more about our projects. After that, you will be expected to work from Hong Kong in order to be close to our clients, where you will occasionally be asked to provide technical support together with other members of our local team.You will be working on our backend projects written in Python. They include client-facing APIs that provide various services that enable easy-to-use integration with our clients. We also use these APIs in our mobile and web applications. You will be also improving our scheduled jobs that our Data Science team needs. In order to handle these complex and challenging problems, our Tech Lead and Product Manager will be working closely with you in order to shape together our features and technical solutions. Because we don't believe in the principle of ""Ivory tower of architecture"", you will be able to influence our technical solution by improving architecture and technologies together with the rest of the team.Responsibilities will include, not be limited to:Write well-designed, testable and secure codeDesign and implement features of our services for both internal and external clientsDocument and maintain backend functionality (API, jobs, ...)Maintain solid test coverage and work closely with QA EngineersDeploy our services to AWS together with Devops EngineersProvide technical help to our clients based in APAC area (not more than 10% of your time)Technologies:- AWS- Python- Git- CI/CD- DockerMore: HealthyHealth: A New Standard for Life and Health Insurance UnderwritingBe part of the Tech and Data transformation of an entire sector from its core. We need you to help scale up a pioneer and write history.The HealthyHealth model uses data to calculate the risk of diagnosis for over 800 conditions, along with Extra Mortalities and Morbidities. This can be used to save applicants hours filling out long insurer questionnaires or visiting the doctor, and disrupting the traditional underwriting process for the benefit of the early adopters.Founded 2017Scaling upRaised ~£3mNamed one of Forbes’ “20 Tech-For-Social-Good Startups To Watch” In 202015 -> 45 Employees5 -> 10 DevelopersBig data & analytics - HealthTech - InsurTechYou will help us revolutionise this industry with a range of clients and partners from small to top-tier Insurers, re-insurers, and MGAs in Europe and APAC.",London,EC1Y8PD,40000,60000
9,6035689b3f528400179c10cc,Front-End Developer ,SE,"50,000 - 65,000 GBP per year","Salary 50,000 - 65,000 GBP per year Requirements:- At least 4 years of Frontend Web Development Experience: have worked with React and modern web apps (bonus: Three.js, 3D rendering, SVG or webpack experience)Good communication skills: comfortable interacting with customers and working closely with our sales and support teamsKnowledge of UI design and User Experience, working with our designers and users to provide a constantly great experienceHappy interacting with APIs with a solid understanding of API usage and design, ideally with some backend development experience Responsibilities:- Contributing ideas and working on exciting new features in our roadmapProducing Choreograph updates from design, implementation, testing to releaseHandling support requests from customers, helping them to develop their robotic use cases and squashing bugsYou will also have the opportunity to learn about other technical areas such as Back-End, DevOps, System Development, Firmware and Manufacturing, depending on your interests and strengthsTechnologies:- React- Three.js- APIMore: We’re looking for an experienced Front-End developer to join our growing team. You’ll be working on ‘Choreograph’, Eva’s powerful, web-based, visual editor, based on a modern tech stack. This will include interacting with our robot and cloud APIs, improving our 3D programming environment and working with a wide range of robotics use cases.We would like to find driven people who are excited by technical challenges and love working as part of a team. No robotics experience needed but curiosity and passion is appreciated!We’re passionate about the future of Technology and Robotics and our growing success is built upon like-minded individuals who share our passion. The variety of exciting technical challenges in Eva is endless and we enjoy working across the stack in collaboration with other technical disciplines to deliver game-changing robotics features. If this sounds like a good fit and you are an experienced Front-End developer, we'd love to hear from you. ",London,N1 8QG,50000,65000
